url,Title,Price,LOCATION,YEAR,MILEAGE,MAKE,MODEL,GEAR,FUEL TYPE,ENGINE (CC),CONDITION,AD DATE
https://riyasewana.com/buy/daihatsu-taft-x-sale-kottawa-11605055,Daihatsu Taft X Moon Roof Un-Reg 2025 Car Unregistered (Recondition),"Rs. 7,950,000",Kottawa,2025,"1,500 km",Daihatsu,Taft X Moon Roof Un-Reg,Automatic,Petrol,660,Unregistered (Recondition),"2026 May 09, 12:29 am"
https://riyasewana.com/buy/tata-nano-sale-wattala-11605048,Tata Nano 2017 Car (Used),"Rs. 2,750,000",Wattala,2017,"160,000 km",Tata,Nano,Automatic,Petrol,624,Registered (Used),"2026 May 09, 12:22 am"
https://riyasewana.com/buy/toyota-prius-sale-panadura-11605046,Toyota Prius 2011 Car (Used),Negotiable,Panadura,2011,"180,000 km",Toyota,Prius,Automatic,Hybrid,1800,Registered (Used),"2026 May 09, 12:18 am"
https://riyasewana.com/buy/suzuki-alto-sale-horana-11605043,Suzuki Alto 2015 Car (Used),"Rs. 3,850,000",Horana,2015,"180,000 km",Suzuki,Alto,Manual,Petrol,800,Registered (Used),"2026 May 09, 12:16 am"
https://riyasewana.com/buy/suzuki-wagon-r-sale-kandy-11605040,Suzuki Wagon R Stingray 2019 Car (Used),"Rs. 6,790,000",Kandy,2019,"99,000 km",Suzuki,Wagon R Stingray,Automatic,Petrol,650,Registered (Used),"2026 May 09, 12:09 am"
https://riyasewana.com/buy/toyota-aqua-sale-kiribathgoda-11605034,Toyota Aqua 2015 Car (Used),"Rs. 7,125,000",Kiribathgoda,2015,"186,000 km",Toyota,Aqua,Automatic,Hybrid,1600,Registered (Used),"2026 May 09, 12:01 am"
https://riyasewana.com/buy/nissan-dayz-x-sale-ragama-11605033,Nissan Dayz X Grade 2016 Car (Used),"Rs. 5,775,000",Ragama,2016,"86,500 km",Nissan,Dayz X Grade,Automatic,Petrol,660,Registered (Used),"2026 May 09, 12:01 am"
https://riyasewana.com/buy/chevrolet-aveo-sale-kurunegala-11605027,Chevrolet Aveo 2011 Car (Used),"Rs. 3,550,000",Kurunegala,2011,-,Chevrolet,Aveo,Automatic,Petrol,1500,Registered (Used),"2026 May 08, 11:57 pm"
https://riyasewana.com/buy/toyota-aqua-sale-kiribathgoda-11605026,Toyota Aqua 2015 Car (Used),"Rs. 7,125,000",Kiribathgoda,2015,"186,000 km",Toyota,Aqua,Automatic,Hybrid,1600,Registered (Used),"2026 May 08, 11:56 pm"
https://riyasewana.com/buy/toyota-allion-240-sale-kandy-11605021,Toyota Allion 240 2003 Car (Used),"Rs. 6,600,000",Kandy,2003,"231,710 km",Toyota,Allion 240,Automatic,Petrol,1500,Registered (Used),"2026 May 08, 11:53 pm"
https://riyasewana.com/buy/suzuki-maruti-800-sale-kandy-11605020,Suzuki Maruti 800 2008 Car (Used),"Rs. 21,850,000",Kandy,2008,-,Suzuki,Maruti 800,Manual,Petrol,800,Registered (Used),"2026 May 08, 11:53 pm"
https://riyasewana.com/buy/mazda-familia-sale-kalutara-11605017,Mazda Familia 2000 Car (Used),"Rs. 3,150,000",Kalutara,2000,1 km,Mazda,Familia,Automatic,Petrol,1500,Registered (Used),"2026 May 08, 11:52 pm"
https://riyasewana.com/buy/toyota-corolla-sale-minuwangoda-11605013,Toyota Corolla 1998 Car (Used),"Rs. 3,650,000",Minuwangoda,1998,"230,000 km",Toyota,Corolla,Automatic,Petrol,1600,Registered (Used),"2026 May 08, 11:50 pm"
https://riyasewana.com/buy/toyota-starlet-glanza-sale-minuwangoda-11605010,Toyota Starlet Glanza 1997 Car (Used),Negotiable,Minuwangoda,1997,"140,000 km",Toyota,Starlet Glanza,Automatic,Diesel,1500,Registered (Used),"2026 May 08, 11:45 pm"
https://riyasewana.com/buy/honda-fit-gp5-sale-ganemulla-11605008,Honda Fit GP5 2014 Car (Used),"Rs. 7,800,000",Ganemulla,2014,"160,000 km",Honda,Fit GP5,Automatic,Petrol,1500,Registered (Used),"2026 May 08, 11:44 pm"
https://riyasewana.com/buy/toyota-premio-g-sale-matara-11605005,Toyota Premio G Superior 2013 Car (Used),"Rs. 11,500,000",Matara,2013,"118,000 km",Toyota,Premio G Superior,Automatic,Petrol,1490,Registered (Used),"2026 May 08, 11:42 pm"
https://riyasewana.com/buy/honda-insight-ze2-sale-galle-11605000,Honda Insight ZE2 2011 Car (Used),Negotiable,Galle,2011,"220,000 km",Honda,Insight ZE2,Automatic,Petrol,1300,Registered (Used),"2026 May 08, 11:36 pm"
https://riyasewana.com/buy/kia-rio-sale-gampaha-11604999,Kia Rio 2003 Car (Used),"Rs. 2,750,000",Gampaha,2003,"165,421 km",Kia,Rio,Automatic,Petrol,1380,Registered (Used),"2026 May 08, 11:35 pm"
https://riyasewana.com/buy/toyota-passo-xl-sale-kottawa-11604998,Toyota PASSO XL 2023 Car Unregistered (Recondition),"Rs. 8,250,000",Kottawa,2023,"41,500 km",Toyota,PASSO XL,Automatic,Petrol,1000,Unregistered (Recondition),"2026 May 08, 11:35 pm"
